,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
7/1/2019,-0.196081658,0.111654966,-0.145013125,-0.011074056,1.43000611,-5.588441434,-1.256303963,12.48420773,0.308615534,0.097241402,-0.629456747
8/1/2019,-0.339854765,0.260210615,-0.160969999,-0.024429824,-1.835967479,18.3609105,-1.080462466,2.050823295,1.200658093,0.159736281,-0.679376407
9/1/2019,-0.48550836,0.433246177,-0.165046217,0.024311113,-0.684485301,7.452612296,1.313539567,13.47091277,0.875058091,0.017722674,-0.850950324
10/1/2019,-0.580438466,0.828129558,-0.209778428,-0.428042038,0.139193835,-7.477617544,1.538139255,-1.813111305,0.269956952,1.901362253,-1.06170543
11/1/2019,0.374679992,0.202758801,0.420134891,-0.311417803,-1.345848496,-1.381790604,0.443310549,1.018760659,-0.328873541,2.920197072,-1.044588929
12/1/2019,-0.012257858,-0.155916135,0.222419209,-0.829338574,-0.165362794,-1.038083658,0.487639654,0.289275324,-0.870136039,6.329810294,-1.344526187
1/1/2020,-1.424041745,2.662615501,-0.246641651,-1.126073197,2.824962284,-0.150083561,0.435460927,0.357713041,-0.536267825,-6.599162516,-0.301583708
2/1/2020,-1.447021474,1.715734689,-0.38272674,-2.94308839,2.724521152,-0.1369274,0.150960073,0.002818616,-0.62030119,-6.566812888,1.516504645
3/1/2020,-3.0000791,0.149486095,-0.251038072,-1.940819157,7.766775548,-0.237883807,0.586164095,0.526936176,-0.574109495,-6.818021774,0.63099076
4/1/2020,-1.235727092,-1.135666319,-0.510120265,-0.825704326,0.064742524,0.55701417,0.40066754,0.725443861,1.785662724,-1.989264613,0.885934958
5/1/2020,-1.350887008,0.680609599,-0.132477268,-0.138013982,2.860360622,-1.597215756,-0.159808301,4.076109161,0.38320686,0.980540276,-0.673018459
6/1/2020,0.522759171,0.274559332,-0.022908511,-0.033851184,18.40273977,-1.723278813,0.085035632,9.140535313,0.170398605,0.273019687,-0.570927383
7/1/2020,0.23229311,0.53952822,-0.162207404,-0.010716926,32.13113793,-6.427840772,0.07122499,4.259106263,0.48370537,0.156991482,0.038505193
8/1/2020,-0.121523726,-0.284273643,-0.088158026,0.222888261,8.86738545,2.403123939,3.368858804,1.825655066,-0.168744315,-0.431818122,1.441814938
9/1/2020,-0.103991516,-0.209644753,-0.177962879,-0.028461646,8.446863786,4.298677818,0.759411636,3.133281542,-0.181662166,0.073748656,-0.504433842
